subsystem,year,month,MWh,demand_avg_mw,demand_scaled_mw,month_start,gen_mwh,hours_in_month,gen_avg_mw,avg_gap_mw,scaled_gap_mw,year_total
PARAGUAI,2021.0,4.0,0.0,0.0,0.0,2021-04-01,3632337.562,720.0,5044.9132805555555,5044.9132805555555,5044.9132805555555,2021
SUDESTE,2021.0,4.0,24345862.251000002,33813.697570833334,33813.697570833334,2021-04-01,18275156.651,720.0,25382.16201527778,-8431.535555555554,-8431.535555555554,2021
SUL,2021.0,4.0,8109891.932,11263.738794444445,11263.738794444445,2021-04-01,3246103.424,720.0,4508.476977777778,-6755.261816666667,-6755.261816666667,2021
TOTAL,,,,58904.75151666667,,2021-04-01,,,56401.1503513889,-2503.601165277776,-2503.601165277776,2021
NORDESTE,2021.0,5.0,6983901.964,9386.965005376343,9386.965005376343,2021-05-01,3398367.142,744.0,4567.697771505376,-4819.267233870967,-4819.267233870967,2021
NORTE,2021.0,5.0,2814725.297,3783.2329260752686,3783.2329260752686,2021-05-01,11624269.242,744.0,15624.017798387098,11840.78487231183,11840.78487231183,2021
PARAGUAI,2021.0,5.0,0.0,0.0,0.0,2021-05-01,4027788.23,744.0,5413.693857526881,5413.693857526881,5413.693857526881,2021
SUDESTE,2021.0,5.0,23181522.282,31157.960056451615,31157.960056451615,2021-05-01,18318547.425,744.0,24621.703528225808,-6536.256528225807,-6536.256528225807,2021
SUL,2021.0,5.0,7579902.347999999,10188.04079032258,10188.04079032258,2021-05-01,2460210.291,744.0,3306.7342620967743,-6881.306528225807,-6881.306528225807,2021
TOTAL,,,,54516.19877822581,,2021-05-01,,,53533.84721774194,-982.3515604838703,-982.3515604838703,2021
NORDESTE,2021.0,6.0,7005621.67,9730.030097222221,9730.030097222221,2021-06-01,4370733.884,720.0,6070.463727777777,-3659.566369444444,-3659.566369444444,2021
NORTE,2021.0,6.0,2829091.631,3929.2939319444445,3929.2939319444445,2021-06-01,6791027.515,720.0,9431.982659722222,5502.688727777777,5502.688727777777,2021
PARAGUAI,2021.0,6.0,0.0,0.0,0.0,2021-06-01,3030192.429,720.0,4208.6005958333335,4208.6005958333335,4208.6005958333335,2021
SUDESTE,2021.0,6.0,23054806.503,32020.564587499997,32020.564587499997,2021-06-01,17980819.337,720.0,24973.36019027778,-7047.204397222216,-7047.204397222216,2021
SUL,2021.0,6.0,7330462.707,10181.198204166667,10181.198204166667,2021-06-01,4283439.194,720.0,5949.221102777778,-4231.977101388889,-4231.977101388889,2021
TOTAL,,,,55861.08682083333,,2021-06-01,,,50633.62827638889,-5227.458544444439,-5227.458544444439,2021
NORDESTE,2021.0,7.0,7004674.176,9414.88464516129,9414.88464516129,2021-07-01,4926933.874,744.0,6622.222948924731,-2792.661696236559,-2792.661696236559,2021
NORTE,2021.0,7.0,2821757.5519999997,3792.6848817204295,3792.6848817204295,2021-07-01,5310486.713,744.0,7137.750958333334,3345.0660766129045,3345.0660766129045,2021
PARAGUAI,2021.0,7.0,0.0,0.0,0.0,2021-07-01,2770323.162,744.0,3723.552637096774,3723.552637096774,3723.552637096774,2021
SUDESTE,2021.0,7.0,22683943.340000004,30489.171155913984,30489.171155913984,2021-07-01,15560688.667,744.0,20914.904122311826,-9574.267033602158,-9574.267033602158,2021
SUL,2021.0,7.0,7472283.286,10043.39151344086,10043.39151344086,2021-07-01,6867616.819,744.0,9230.667767473118,-812.7237459677417,-812.7237459677417,2021
TOTAL,,,,53740.13219623656,,2021-07-01,,,47629.098434139785,-6111.03376209678,-6111.03376209678,2021
NORDESTE,2021.0,8.0,7120255.964,9570.236510752688,9570.236510752688,2021-08-01,5462128.863,744.0,7341.571052419355,-2228.665458333333,-2228.665458333333,2021
NORTE,2021.0,8.0,2921371.658,3926.5748091397845,3926.5748091397845,2021-08-01,5069641.358,744.0,6814.034083333333,2887.4592741935485,2887.4592741935485,2021
PARAGUAI,2021.0,8.0,0.0,0.0,0.0,2021-08-01,3091889.489,744.0,4155.7654422043015,4155.7654422043015,4155.7654422043015,2021
SUDESTE,2021.0,8.0,23035124.076,30961.18827419355,30961.18827419355,2021-08-01,15825075.643,744.0,21270.262961021504,-9690.925313172047,-9690.925313172047,2021
SUL,2021.0,8.0,7606944.882999999,10224.38828360215,10224.38828360215,2021-08-01,6392458.546,744.0,8592.014174731183,-1632.3741088709667,-1632.3741088709667,2021
TOTAL,,,,54682.387877688176,,2021-08-01,,,48173.64771370968,-6508.740163978497,-6508.740163978497,2021
NORDESTE,2021.0,9.0,7200604.104,10000.839033333334,10000.839033333334,2021-09-01,6252055.87,720.0,8683.410930555556,-1317.428102777778,-1317.428102777778,2021
NORTE,2021.0,9.0,2927003.1229999997,4065.2821152777774,4065.2821152777774,2021-09-01,4775116.373,720.0,6632.10607361111,2566.823958333333,2566.823958333333,2021
PARAGUAI,2021.0,9.0,0.0,0.0,0.0,2021-09-01,4327710.88,720.0,6010.709555555555,6010.709555555555,6010.709555555555,2021
SUDESTE,2021.0,9.0,24234892.881,33659.57344583333,33659.57344583333,2021-09-01,14942627.226,720.0,20753.648925,-12905.92452083333,-12905.92452083333,2021
SUL,2021.0,9.0,7349094.263,10207.075365277778,10207.075365277778,2021-09-01,6083671.27,720.0,8449.543430555555,-1757.531934722223,-1757.531934722223,2021
TOTAL,,,,57932.76995972222,,2021-09-01,,,50529.418915277776,-7403.351044444444,-7403.351044444444,2021
NORDESTE,2021.0,10.0,7550861.249,10149.007055107526,10149.007055107526,2021-10-01,5675404.168,744.0,7628.23140860215,-2520.7756465053762,-2520.7756465053762,2021
NORTE,2021.0,10.0,2956196.347,3973.382186827957,3973.382186827957,2021-10-01,5504083.536,744.0,7397.9617419354845,3424.5795551075275,3424.5795551075275,2021
PARAGUAI,2021.0,10.0,0.0,0.0,0.0,2021-10-01,5350606.52,744.0,7191.675430107526,7191.675430107526,7191.675430107526,2021
SUDESTE,2021.0,10.0,24403338.165,32800.18570564516,32800.18570564516,2021-10-01,14749126.658,744.0,19824.094970430106,-12976.090735215057,-12976.090735215057,2021
SUL,2021.0,10.0,7453424.124,10018.043177419355,10018.043177419355,2021-10-01,6366580.434,744.0,8557.231766129033,-1460.8114112903222,-1460.8114112903222,2021
TOTAL,,,,56940.618125,,2021-10-01,,,50599.1953172043,-6341.422807795701,-6341.422807795701,2021
NORDESTE,2021.0,11.0,7493290.017,10407.347245833333,10407.347245833333,2021-11-01,5332865.651,720.0,7406.757848611111,-3000.589397222222,-3000.589397222222,2021
NORTE,2021.0,11.0,2922086.172,4058.4530166666664,4058.4530166666664,2021-11-01,7689240.914,720.0,10679.501269444445,6621.0482527777785,6621.0482527777785,2021
PARAGUAI,2021.0,11.0,0.0,0.0,0.0,2021-11-01,4508124.223,720.0,6261.283643055556,6261.283643055556,6261.283643055556,2021
