scenario,subsystem,year,month,demand_mw
inferior,SUDESTE,2026,12,49171.0107036132
inferior,SUDESTE,2027,1,47601.9741422747
inferior,SUDESTE,2027,2,51555.767275959144
inferior,SUDESTE,2027,3,49810.81070650572
inferior,SUDESTE,2027,4,49856.6778816049
inferior,SUDESTE,2027,5,46757.223975571746
inferior,SUDESTE,2027,6,47421.999733038414
inferior,SUDESTE,2027,7,45978.64956027157
inferior,SUDESTE,2027,8,47428.45809509323
inferior,SUDESTE,2027,9,50406.771954158765
inferior,SUDESTE,2027,10,50622.52476152136
inferior,SUDESTE,2027,11,51366.34595107463
inferior,SUDESTE,2027,12,50449.45698190714
inferior,SUDESTE,2028,1,48839.62546997385
inferior,SUDESTE,2028,2,52896.21722513409
inferior,SUDESTE,2028,3,51105.891784874875
inferior,SUDESTE,2028,4,51152.95150652663
inferior,SUDESTE,2028,5,47972.911798936606
inferior,SUDESTE,2028,6,48654.971726097414
inferior,SUDESTE,2028,7,47174.09444883863
inferior,SUDESTE,2028,8,48661.598005565655
inferior,SUDESTE,2028,9,51717.348024966894
inferior,SUDESTE,2028,10,51938.71040532092
inferior,SUDESTE,2028,11,52701.87094580257
inferior,SUDESTE,2028,12,51761.14286343673
inferior,SUL,2025,1,14531.48432290264
inferior,SUL,2025,2,16140.501517981667
inferior,SUL,2025,3,15114.84596178757
inferior,SUL,2025,4,14748.158355283871
inferior,SUL,2025,5,13340.358589167705
inferior,SUL,2025,6,13585.808204945257
inferior,SUL,2025,7,13392.601535280184
inferior,SUL,2025,8,13711.655568787488
inferior,SUL,2025,9,14001.431873875643
inferior,SUL,2025,10,13816.671386453316
inferior,SUL,2025,11,14534.966383522
inferior,SUL,2025,12,14550.829007541106
inferior,SUL,2026,1,14967.42885258972
inferior,SUL,2026,2,16624.716563521117
inferior,SUL,2026,3,15568.291340641199
inferior,SUL,2026,4,15190.60310594239
inferior,SUL,2026,5,13740.569346842738
inferior,SUL,2026,6,13993.382451093616
inferior,SUL,2026,7,13794.37958133859
inferior,SUL,2026,8,14123.005235851115
inferior,SUL,2026,9,14421.474830091913
inferior,SUL,2026,10,14231.171528046916
inferior,SUL,2026,11,14971.015375027662
inferior,SUL,2026,12,14987.353877767338
inferior,SUL,2027,1,15416.45171816741
inferior,SUL,2027,2,17123.45806042675
inferior,SUL,2027,3,16035.340080860438
inferior,SUL,2027,4,15646.321199120659
inferior,SUL,2027,5,14152.786427248022
inferior,SUL,2027,6,14413.183924626424
inferior,SUL,2027,7,14208.210968778747
inferior,SUL,2027,8,14546.695392926647
inferior,SUL,2027,9,14854.11907499467
inferior,SUL,2027,10,14658.106673888324
inferior,SUL,2027,11,15420.145836278492
inferior,SUL,2027,12,15436.974494100361
inferior,SUL,2028,1,15878.94526971243
inferior,SUL,2028,2,17637.161802239552
inferior,SUL,2028,3,16516.40028328625
inferior,SUL,2028,4,16115.710835094278
inferior,SUL,2028,5,14577.370020065462
inferior,SUL,2028,6,14845.579442365217
inferior,SUL,2028,7,14634.457297842111
inferior,SUL,2028,8,14983.096254714448
inferior,SUL,2028,9,15299.742647244511
inferior,SUL,2028,10,15097.849874104977
inferior,SUL,2028,11,15882.750211366847
inferior,SUL,2028,12,15900.083728923373
referencia,NORTE,2025,1,7777.188166664908
referencia,NORTE,2025,2,8055.422630157015
referencia,NORTE,2025,3,7827.834859297803
referencia,NORTE,2025,4,7951.744140398533
